#RA DEC XI ETA F475W F814W V VERR
11.114 41.627 0.322 0.359 24.556 20.891 -520.003 2.561 
11.123 41.643 0.329 0.375 24.362 21.44 -286.05 3.446 
11.137 41.629 0.339 0.361 25.354 21.38 -155.975 3.208 
11.079 41.654 0.296 0.386 24.933 21.441 -287.761 2.098 
11.108 41.666 0.318 0.397 26.149 21.634 -46.422 1.65 
11.117 41.639 0.324 0.371 26.051 21.619 -24.729 2.756 
11.131 41.645 0.335 0.376 25.463 21.685 -46.917 2.585 
11.107 41.644 0.317 0.376 24.505 21.483 -203.463 2.931 
11.106 41.63 0.316 0.361 24.687 21.551 -108.686 2.818 
11.112 41.641 0.32 0.372 24.873 21.563 -45.942 2.927 
11.173 41.61 0.366 0.342 24.889 21.121 -138.096 1.905 
11.06 41.623 0.282 0.355 25.311 21.383 -110.733 1.665 
11.064 41.628 0.284 0.359 24.837 21.307 -82.701 1.85 
11.057 41.624 0.28 0.356 25.265 21.33 -268.708 3.598 
11.056 41.629 0.278 0.36 25.257 21.405 -163.367 2.459 
11.101 41.622 0.312 0.353 24.773 21.451 -204.827 2.286 
11.084 41.641 0.299 0.372 24.786 21.402 -77.045 1.873 
11.084 41.641 0.299 0.372 25.141 22.276 -44.862 4.243 
11.062 41.623 0.283 0.355 25.289 21.463 -13.334 5.479 
11.068 41.624 0.287 0.355 25.895 21.586 -217.651 3.929 
11.069 41.624 0.288 0.355 25.197 21.892 -127.41 12.732 
11.07 41.624 0.289 0.356 25.478 21.487 -65.509 1.781 
11.065 41.636 0.285 0.367 26.745 21.607 -259.196 7.11 
11.08 41.634 0.297 0.365 24.645 21.496 -20.062 2.451 
11.237 41.624 0.414 0.356 25.243 21.157 -64.502 2.901 
11.224 41.652 0.405 0.384 25.375 21.153 -76.152 1.458 
11.24 41.622 0.416 0.354 25.015 21.187 -139.624 2.589 
11.192 41.61 0.381 0.342 24.564 21.096 -134.462 1.722 
11.226 41.646 0.406 0.378 24.805 21.349 -42.344 2.656 
11.223 41.612 0.404 0.344 24.823 21.538 -134.111 2.789 
11.236 41.632 0.413 0.365 25.078 21.271 -168.108 1.628 
11.148 41.659 0.347 0.391 24.856 21.142 -187.738 2.199 
11.197 41.622 0.384 0.354 24.653 21.505 -100.631 6.618 
11.198 41.622 0.385 0.354 25.123 22.101 -301.002 3.14 
11.144 41.679 0.344 0.411 24.627 20.809 -128.123 1.147 
11.143 41.678 0.343 0.41 25.114 21.061 -88.025 1.271 
11.134 41.68 0.337 0.411 25.917 21.33 -112.974 1.949 
11.135 41.68 0.337 0.411 26.499 22.543 -122.265 2.716 
11.129 41.676 0.333 0.408 24.815 21.487 -103.416 2.127 
11.126 41.67 0.331 0.402 25.527 21.182 -90.695 1.276 
11.14 41.676 0.341 0.407 25.099 21.412 -16.817 2.193 
11.139 41.676 0.341 0.407 25.078 22.3 27.893 5.637 
11.187 41.604 0.377 0.336 25.996 21.203 -413.371 3.063 
11.191 41.615 0.379 0.347 23.867 21.648 -685.306 4.499 
11.149 41.617 0.348 0.348 24.029 20.706 -158.35 1.242 
11.119 41.634 0.326 0.366 23.901 21.343 -116.525 2.781 
11.088 41.642 0.302 0.374 23.716 21.582 -66.536 2.574 
11.124 41.624 0.33 0.356 26.358 21.861 -162.717 7.252 
11.082 41.648 0.298 0.38 24.053 21.823 -304.273 7.662 
11.152 41.611 0.35 0.343 24.049 21.583 -105.724 4.473 
11.055 41.628 0.277 0.359 23.685 20.797 -421.367 1.208 
11.113 41.637 0.321 0.368 23.374 21.087 -418.968 2.834 
11.059 41.631 0.281 0.363 23.892 21.346 -115.922 2.165 
11.211 41.614 0.395 0.346 23.746 20.625 -216.207 1.16 
11.179 41.613 0.371 0.345 24.507 20.91 -63.292 2.77 
11.231 41.617 0.41 0.349 23.622 20.729 -346.521 1.76 
11.23 41.617 0.409 0.349 23.784 20.97 -165.253 2.487 
11.212 41.633 0.396 0.365 23.204 20.695 -381.799 2.415 
11.233 41.632 0.411 0.364 23.751 20.828 -494.191 1.533 
11.207 41.625 0.392 0.357 23.758 20.942 -361.271 2.583 
11.206 41.636 0.391 0.368 23.938 21.069 -178.769 1.191 
11.229 41.626 0.408 0.358 23.912 21.663 -459.098 3.651 
11.209 41.655 0.393 0.387 24.138 21.661 -30.573 4.341 
11.209 41.655 0.393 0.387 25.199 21.797 -49.818 4.064 
11.221 41.634 0.402 0.366 23.81 21.729 -250.599 5.145 
11.153 41.648 0.351 0.38 23.537 20.913 -118.53 1.729 
11.153 41.648 0.351 0.38 24.917 21.798 -148.586 3.706 
11.182 41.671 0.373 0.402 23.561 20.875 -259.255 2.018 
11.163 41.625 0.358 0.357 23.543 21.084 -269.581 2.227 
11.156 41.658 0.353 0.389 23.598 20.996 -175.405 1.32 
11.184 41.651 0.374 0.383 23.552 21.283 -250.931 2.613 
11.181 41.652 0.372 0.384 23.777 21.496 -93.234 1.973 
11.18 41.652 0.371 0.384 24.936 22.392 45.094 4.69 
11.186 41.661 0.375 0.393 24.162 21.87 -186.616 4.869 
11.136 41.658 0.338 0.39 23.772 20.831 -245.64 1.486 
11.135 41.658 0.338 0.39 25.638 22.251 -37.264 16.731 
11.085 41.659 0.3 0.39 23.407 21.106 39.074 2.013 
11.199 41.618 0.386 0.35 23.857 21.106 -46.397 2.775 
11.2 41.616 0.387 0.348 23.9 21.58 -317.387 3.665 
11.204 41.615 0.389 0.347 23.921 21.424 -324.141 3.768 
11.104 41.64 0.315 0.372 24.111 21.814 -437.376 4.26 
11.104 41.64 0.315 0.372 24.111 21.814 -127.162 4.882 
11.094 41.65 0.307 0.381 28.518 22.947 -124.072 7.769 
11.092 41.66 0.305 0.391 25.81 22.376 -293.438 6.599 
11.091 41.66 0.305 0.391 26.709 21.734 -139.162 3.989 
10.94 41.616 0.192 0.347 25.191 22.302 -67.13 0.124 
10.945 41.643 0.195 0.374 24.996 22.555 -3.973 2.847 
11.194 41.602 0.382 0.334 26.632 23.406 -171.017 11.029 
11.035 41.659 0.263 0.391 24.386 21.343 -143.105 2.244 
11.036 41.659 0.263 0.391 25.099 21.385 -231.63 1.507 
11.005 41.614 0.24 0.346 25.439 21.247 -29.599 3.589 
11.004 41.614 0.24 0.346 25.161 21.538 -52.562 3.714 
10.96 41.604 0.207 0.335 24.279 21.464 -234.026 3.794 
11.012 41.621 0.245 0.352 24.912 21.675 -179.27 3.016 
11.011 41.621 0.245 0.352 24.772 21.894 -78.415 3.42 
11.013 41.621 0.246 0.352 27.747 21.868 -213.222 6.569 
11.034 41.626 0.262 0.357 25.326 21.983 -73.385 5.0 
11.007 41.638 0.242 0.369 24.288 21.484 -74.179 1.523 
11.018 41.639 0.25 0.37 25.188 21.368 -224.528 2.231 
11.019 41.639 0.251 0.37 24.615 22.045 -152.532 4.463 
11.019 41.639 0.251 0.37 26.029 22.082 -204.067 4.401 
11.043 41.645 0.268 0.376 24.707 21.342 -161.671 1.479 
11.002 41.65 0.238 0.381 23.679 21.812 -112.115 2.539 
10.999 41.66 0.236 0.391 25.064 21.219 -83.774 1.943 
11.022 41.663 0.253 0.394 25.061 21.528 -119.968 1.822 
11.024 41.663 0.254 0.394 24.66 22.616 -80.869 6.479 
11.024 41.663 0.255 0.394 24.711 22.128 -265.837 5.288 
11.001 41.666 0.237 0.397 24.863 21.666 -159.628 2.103 
11.014 41.671 0.247 0.402 25.23 21.435 -68.059 1.408 
11.014 41.671 0.247 0.402 25.23 21.435 -104.513 2.018 
11.013 41.671 0.246 0.402 26.335 21.494 -22.894 4.139 
11.028 41.677 0.257 0.408 24.863 21.387 -102.845 1.031 
11.048 41.68 0.272 0.411 24.179 21.414 -161.091 2.243 
11.016 41.646 0.249 0.377 27.179 21.903 -89.363 2.518 
11.017 41.646 0.249 0.377 24.357 21.884 13.029 4.105 
11.008 41.646 0.243 0.377 25.579 21.348 -104.805 2.58 
11.01 41.646 0.244 0.377 24.341 21.892 -127.07 2.084 
11.031 41.657 0.26 0.388 25.029 21.973 -90.07 2.092 
11.032 41.657 0.26 0.388 25.006 22.22 -121.824 3.814 
11.046 41.676 0.271 0.407 25.515 21.22 -53.894 1.624 
11.045 41.676 0.27 0.407 26.022 21.771 -100.14 4.743 
11.038 41.68 0.265 0.411 25.158 21.527 -21.302 2.14 
11.242 41.632 0.418 0.365 24.863 21.402 -62.586 1.756 
10.957 41.606 0.205 0.337 24.824 21.685 -162.978 7.012 
10.955 41.614 0.202 0.345 23.224 20.639 -146.573 1.505 
10.973 41.616 0.216 0.347 24.551 20.869 -111.22 2.447 
10.944 41.621 0.194 0.352 23.975 21.026 -353.612 3.583 
10.949 41.632 0.198 0.364 23.345 21.37 -162.154 2.082 
10.946 41.638 0.196 0.369 23.337 21.194 -314.456 3.46 
10.964 41.653 0.209 0.384 24.549 21.658 -85.521 6.439 
10.97 41.664 0.214 0.395 24.307 21.451 -252.31 2.587 
10.976 41.666 0.218 0.397 24.064 21.428 -326.681 3.841 
10.975 41.666 0.218 0.397 25.566 22.488 -171.645 16.734 
10.984 41.67 0.224 0.401 25.276 21.217 -68.553 1.54 
10.982 41.67 0.223 0.401 25.306 21.766 -110.814 2.515 
10.961 41.671 0.207 0.402 22.898 21.012 -145.882 2.813 
10.969 41.677 0.213 0.408 24.588 21.251 -157.457 1.753 
10.968 41.678 0.212 0.409 24.705 21.09 -262.191 1.692 
10.985 41.617 0.225 0.348 25.86 21.257 -197.883 6.071 
10.965 41.618 0.21 0.349 24.427 21.473 -142.923 3.861 
10.972 41.667 0.215 0.398 24.234 21.895 -99.472 4.511 
10.963 41.658 0.208 0.389 26.266 22.038 -111.431 3.032 
10.988 41.636 0.227 0.367 24.49 21.397 -365.834 7.317 
10.994 41.666 0.232 0.397 24.692 21.144 -144.584 1.756 
10.993 41.674 0.231 0.405 25.265 20.947 -188.524 1.501 
10.993 41.674 0.231 0.405 26.597 22.025 -152.035 4.112 
11.108 41.617 0.317 0.348 23.258 20.642 -128.571 4.603 
