#RA DEC XI ETA F475W F814W V VERR
11.153 41.554 0.352 0.286 25.087 20.45 -266.976 3.872 
10.984 41.694 0.224 0.426 25.268 20.234 -225.69 3.891 
11.148 41.537 0.348 0.268 24.66 20.708 -140.807 1.387 
11.157 41.549 0.355 0.28 24.524 20.352 -119.715 2.124 
11.153 41.48 0.352 0.212 22.069 20.297 -234.604 3.21 
11.183 41.508 0.374 0.24 27.588 21.665 -449.021 3.403 
11.108 41.589 0.318 0.321 21.818 18.665 -72.68 0.465 
11.11 41.51 0.319 0.242 25.568 20.991 -254.082 2.002 
11.118 41.549 0.325 0.281 24.896 20.455 -201.316 1.981 
11.102 41.563 0.313 0.294 21.014 18.678 -57.269 0.235 
11.117 41.596 0.324 0.328 22.086 19.177 -71.711 0.346 
11.666 42.246 0.733 0.981 27.069 21.106 -73.28 4.441 
11.77 42.28 0.81 1.016 23.278 20.519 -149.349 1.269 
11.682 42.228 0.744 0.963 23.043 20.45 -187.29 1.868 
11.479 42.19 0.593 0.923 25.934 20.625 -22.351 4.329 
11.447 41.709 0.571 0.442 26.177 20.624 -130.735 0.646 
11.459 41.715 0.58 0.449 26.566 21.164 -122.802 5.311 
11.398 41.642 0.535 0.375 23.382 20.517 -203.66 1.606 
11.465 41.781 0.585 0.514 23.841 20.345 -72.023 0.759 
11.341 42.002 0.491 0.735 27.818 21.152 -93.521 3.633 
11.261 41.919 0.431 0.651 22.962 19.93 -50.736 1.314 
11.363 42.005 0.507 0.738 24.234 20.567 -434.929 1.111 
11.148 41.306 0.348 0.038 23.766 20.538 -308.119 1.138 
11.113 41.311 0.322 0.042 24.947 20.514 -413.204 2.116 
11.133 41.313 0.337 0.045 25.946 20.861 -203.962 1.319 
11.116 41.315 0.324 0.047 26.072 20.912 -272.033 1.606 
11.123 41.323 0.33 0.054 26.443 21.222 -136.9 3.363 
11.117 41.348 0.325 0.08 26.442 21.188 -100.39 2.036 
11.216 41.356 0.399 0.087 24.555 20.755 -281.282 1.617 
11.124 41.358 0.33 0.09 24.078 19.657 -369.414 6.386 
11.204 41.36 0.39 0.092 26.827 21.144 -313.361 2.166 
11.188 41.362 0.378 0.094 25.704 20.572 -226.896 1.164 
11.214 41.367 0.398 0.099 25.137 20.728 -108.715 2.358 
